time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   1.08336,  47.28035,  75.43899, -30.09841,  37.60889,  76.85601, -33.93311,  46.31898,  41.14438, -48.11667,  78.19622,  21.80263, -46.52901,  56.95181,  74.02196, -26.26371,  42.58693,  37.33495, -26.53437,  23.39080,   7.13283, -15.94554,  46.39022,  81.45755, -25.62940,  45.03053,  95.37735, -16.47617,  44.61557, 105.59808, -10.47022,  44.72940, 121.24433,  -1.99623,  44.39839, 125.06107,  -0.41385,  43.96909, 129.05123,   0.62315,  42.57365, 117.30748,  -6.02066,  41.74436, 122.82496, -17.54508,  43.35329, 119.61989, -38.23659,  21.16430, 117.19194, -43.78220,  19.00565, 117.87103, -45.56634,  16.68456, 118.34576, -48.10444,  15.04907, 117.86169, -49.80990,  19.78900, 118.68528, -46.75233,  19.13238, 119.49526, -51.65173,  18.01205, 118.91916, -54.82372,  17.23177, 118.03641, -56.35870,  20.85709, 118.25406, -46.89591,  20.79459, 118.81078, -51.75231,  20.26367, 117.54442, -55.21391,  19.50541, 115.77064, -56.52780,  21.63161, 117.93913, -46.87464,  22.25381, 118.19958, -51.21592,  22.25479, 116.91382, -54.19532,  21.73563, 115.18867, -55.54655,  22.52557, 117.46069, -46.68652,  23.65386, 117.44449, -50.56274,  24.07493, 116.36071, -52.88717,  23.78149, 115.00763, -53.76989,  46.81617, 115.69881,  -3.10743,  56.89542, 110.31543,   2.66926,  36.76600, 105.23557,   5.83175,  16.01145, 100.12750,  -2.66273,  17.69239,  98.07891,  -1.53057,  20.04434,  95.68081,  -0.65180,  21.43885,  93.71589,  -0.76213,  19.09773,  98.88616,  -1.29266,  23.97121,  97.73736,  -1.14852,  26.81651,  95.96516,  -1.79052,  28.03669,  94.67508,  -2.55933,  19.24081,  99.69209,  -2.11569,  24.07168,  99.00768,  -2.42043,  27.09939,  97.48474,  -3.96372,  27.90873,  95.93758,  -5.51254,  19.22240, 100.29697,  -2.69300,  23.55136, 100.22518,  -3.43905,  26.15650,  99.26650,  -5.11958,  27.03523,  97.95016,  -6.72164,  19.01682, 100.98228,  -3.43567,  22.88016, 101.35720,  -4.54583,  24.93389, 100.96745,  -6.09021,  25.46188, 100.06969,  -7.35962
   1.10002,  49.10181,  74.71770, -30.45760,  39.48214,  76.11903, -34.42600,  50.88804,  41.47830, -49.33523,  82.59929,  21.81511, -48.60140,  58.72148,  73.31636, -26.48920,  43.79112,  36.85522, -26.66197,  23.82917,   7.10455, -16.21207,  48.07885,  80.63821, -25.88720,  46.43094,  94.36120, -16.48747,  45.81437, 104.45766, -10.29164,  45.63166, 119.93453,  -1.51327,  45.25246, 123.72517,   0.12023,  44.81139, 127.70286,   1.19930,  43.55957, 116.04261,  -5.62441,  42.57528, 121.54563, -17.14354,  44.42469, 118.09031, -37.77459,  22.35336, 115.25898, -43.59179,  20.20996, 115.87622, -45.41632,  17.91793, 116.27475, -47.99364,  16.31429, 115.73849, -49.71367,  20.99740, 116.68376, -46.60419,  20.39768, 117.40612, -51.52454,  19.33121, 116.76275, -54.70216,  18.58630, 115.84389, -56.23351,  22.07390, 116.26699, -46.72603,  22.07144, 116.74606, -51.59111,  21.60892, 115.41720, -55.03906,  20.89656, 113.61136, -56.33484,  22.85278, 115.96451, -46.68899,  23.53214, 116.16616, -51.02482,  23.59489, 114.83377, -53.98300,  23.12136, 113.07967, -55.31357,  23.75122, 115.50306, -46.48086,  24.93424, 115.44331, -50.34031,  25.40465, 114.32972, -52.64105,  25.14447, 112.95849, -53.50603,  47.81448, 114.44675,  -2.72223,  57.93005, 108.96758,   2.89884,  37.97053, 103.15975,   5.87985,  17.57231,  97.19082,  -2.91132,  19.20507,  95.17738,  -1.65266,  21.50574,  92.79073,  -0.62036,  22.86802,  90.80030,  -0.61036,  20.62099,  95.97302,  -1.43968,  25.47234,  94.75422,  -1.17466,  28.29456,  92.90471,  -1.68746,  29.50164,  91.55639,  -2.37244,  20.78726,  96.73222,  -2.30186,  25.60908,  95.95425,  -2.50986,  28.62841,  94.30337,  -3.93340,  29.42948,  92.66413,  -5.38897,  20.78580,  97.30621,  -2.91018,  25.12134,  97.12494,  -3.59716,  27.72931,  96.03714,  -5.19253,  28.60428,  94.62444,  -6.71246,  20.60051,  97.95485,  -3.69017,  24.48232,  98.20810,  -4.76992,  26.54703,  97.70449,  -6.26596,  27.07453,  96.73289,  -7.48001
   1.11669,  50.96816,  74.02555, -30.70844,  41.41559,  75.43853, -34.83177,  55.65705,  42.17989, -50.43319,  87.23174,  22.28506, -50.56333,  60.52073,  72.61257, -26.58511,  45.05208,  36.37649, -26.74949,  24.30272,   7.06224, -16.60448,  49.82292,  79.85926, -26.05617,  47.89314,  93.38911, -16.43274,  47.06280, 103.35232, -10.04901,  46.54157, 118.63671,  -0.95272,  46.10800, 122.39888,   0.73224,  45.65376, 126.36357,   1.85292,  44.57129, 114.79739,  -5.16220,  43.46031, 120.28880, -16.67535,  45.47542, 116.58551, -37.24778,  23.52666, 113.33410, -43.30421,  21.39763, 113.88234, -45.16721,  19.13373, 114.19611, -47.78084,  17.56242, 113.60227, -49.51175,  22.18709, 114.68217, -46.35895,  21.64084, 115.30733, -51.29880,  20.62779, 114.58991, -54.47804,  19.91895, 113.63160, -56.00232,  23.27200, 114.28179, -46.45931,  23.32624, 114.67493, -51.33178,  22.93216, 113.27780, -54.76120,  22.26769, 111.43748, -56.03370,  24.05530, 113.99338, -46.40674,  24.78885, 114.13017, -50.73628,  24.91345, 112.74713, -53.66914,  24.48735, 110.96201, -54.97424,  24.95855, 113.55110, -46.17874,  26.19370, 113.44359, -50.02078,  26.71342, 112.29783, -52.29497,  26.48796, 110.90732, -53.13865,  48.82774, 113.21297,  -2.25602,  58.96321, 107.64303,   3.23856,  39.21275, 101.04183,   5.94845,  19.17531,  94.27054,  -3.08760,  20.76019,  92.28698,  -1.72461,  23.00818,  89.90883,  -0.56457,  24.33436,  87.89724,  -0.45263,  22.18817,  93.06638,  -1.53331,  27.01426,  91.77574,  -1.16659,  29.80733,  89.85597,  -1.56880,  30.99616,  88.45745,  -2.18122,  22.37585,  93.78330,  -2.42672,  27.18461,  92.91238,  -2.55244,  30.18657,  91.14689,  -3.87134,  30.97121,  89.43049,  -5.24461,  22.39021,  94.32948,  -3.05996,  26.72783,  94.04172,  -3.69549,  29.33019,  92.83820,  -5.21514,  30.19337,  91.34392,  -6.66204,  22.22366,  94.94581,  -3.86982,  26.11901,  95.08247,  -4.92150,  28.18780,  94.47644,  -6.37327,  28.70874,  93.44250,  -7.53764
   1.13336,  52.91154,  73.43817, -30.89183,  43.45157,  74.88546, -35.21206,  59.82677,  42.82056, -51.21379,  91.33126,  22.84186, -52.26326,  62.37150,  71.99088, -26.57160,  46.29207,  36.02170, -26.74509,  24.80278,   7.11903, -16.96610,  51.63084,  79.18177, -26.16338,  49.40918,  92.52547, -16.34496,  48.37391, 102.36723,  -9.80470,  47.54719, 117.48119,  -0.44996,  47.06376, 121.21845,   1.27636,  46.59398, 125.17165,   2.43072,  45.67532, 113.69078,  -4.74776,  44.45603, 119.17374, -16.25397,  46.57307, 115.20347, -36.76629,  24.76901, 111.46400, -43.05906,  22.65370, 111.91621, -44.96302,  20.41964, 112.11304, -47.61350,  18.88727, 111.44046, -49.35052,  23.44037, 112.70646, -46.16297,  22.94834, 113.20097, -51.12328,  21.99718, 112.38408, -54.29764,  21.33278, 111.37303, -55.80780,  24.53583, 112.33021, -46.23915,  24.64866, 112.60897, -51.11850,  24.33597, 111.12182, -54.51833,  23.73348, 109.23631, -55.75502,  25.32499, 112.06218, -46.16920,  26.11541, 112.11406, -50.49056,  26.31394, 110.66532, -53.38742,  25.94886, 108.83998, -54.65483,  26.23528, 111.64744, -45.91856,  27.52614, 111.47885, -49.74004,  28.10478, 110.29244, -51.97888,  27.92440, 108.87727, -52.79185,  49.92008, 112.11182,  -1.82157,  60.05512, 106.44058,   3.56920,  40.50054,  99.17482,   5.98311,  20.86639,  91.55403,  -3.25940,  22.38932,  89.58524,  -1.80730,  24.56756,  87.19886,  -0.53637,  25.84340,  85.16173,  -0.33611,  23.83386,  90.33690,  -1.62971,  28.62341,  88.94593,  -1.16421,  31.37290,  86.94640,  -1.46550,  32.53338,  85.49810,  -2.01317,  24.04758,  91.01543,  -2.54694,  28.83480,  90.02588,  -2.58920,  31.80578,  88.14142,  -3.80997,  32.56193,  86.35691,  -5.11048,  24.08136,  91.53720,  -3.19972,  28.41672,  91.12253,  -3.77796,  31.00382,  89.80158,  -5.22434,  31.84459,  88.23437,  -6.60581,  23.93772,  92.12679,  -4.03351,  27.84531,  92.13124,  -5.04798,  29.91286,  91.42244,  -6.45427,  30.41990,  90.33380,  -7.57406
   1.15002,  54.94720,  72.68738, -30.98126,  45.61401,  74.19780, -35.54856,  64.05848,  43.51711, -52.00629,  95.58741,  23.65937, -54.09900,  64.28038,  71.17696, -26.41396,  47.63648,  35.46592, -26.66379,  25.50551,   6.91644, -17.28669,  53.50898,  78.32943, -26.17645,  50.95225,  91.46797, -16.16480,  49.68447, 101.17868,  -9.47138,  48.51152, 116.11182,   0.13340,  47.97041, 119.82211,   1.90033,  47.47620, 123.76187,   3.08987,  46.75951, 112.37607,  -4.26168,  45.47625, 117.86064, -15.76016,  47.69000, 113.56220, -36.19598,  26.06961, 109.24939, -42.75023,  23.96863, 109.61172, -44.68897,  21.76395, 109.69969, -47.36972,  20.26873, 108.95462, -49.10953,  24.75238, 110.39293, -45.89672,  24.31129, 110.76693, -50.87235,  23.41822, 109.85912, -54.03888,  22.79541, 108.80034, -55.53398,  25.85682, 110.03993, -45.95139,  26.02420, 110.21372, -50.83404,  25.78716, 108.64544, -54.20339,  25.24234, 106.72005, -55.40489,  26.65083, 109.79139, -45.86604,  27.49369, 109.76599, -50.17772,  27.76058, 108.25871, -53.03900,  27.45213, 106.39814, -54.26971,  27.56695, 109.40291, -45.59536,  28.90878, 109.17947, -49.39641,  29.54159, 107.95745, -51.60118,  29.40297, 106.52102, -52.38452,  50.97439, 110.79739,  -1.29247,  61.08375, 105.00673,   4.01900,  41.71553,  97.16690,   6.11884,  22.57804,  88.61062,  -3.34407,  24.01750,  86.64385,  -1.80658,  26.10135,  84.23379,  -0.42675,  27.30965,  82.16579,  -0.14192,  25.48221,  87.35589,  -1.63099,  30.21861,  85.83343,  -1.04789,  32.90804,  83.74119,  -1.24290,  34.03023,  82.24072,  -1.72612,  25.73023,  87.99738,  -2.56606,  30.48417,  86.85954,  -2.50327,  33.41174,  84.84558,  -3.61747,  34.13009,  82.99732,  -4.84851,  25.78972,  88.49641,  -3.23460,  30.11777,  87.92945,  -3.73276,  32.68261,  86.48297,  -5.09633,  33.49350,  84.84655,  -6.41393,  25.67660,  89.06280,  -4.08893,  29.59654,  88.91360,  -5.04300,  31.66077,  88.09602,  -6.39404,  32.14940,  86.95648,  -7.47054
   1.16669,  56.98947,  71.96321, -30.99228,  47.78972,  73.54944, -35.79836,  68.30644,  44.49345, -52.74456,  99.95355,  24.94416, -55.75587,  66.18922,  70.37698, -26.18620,  48.94621,  34.95142, -26.44852,  26.17269,   6.71865, -17.67014,  55.40794,  77.51829, -26.13149,  52.54659,  90.47725, -15.96934,  51.06686, 100.07055,  -9.15127,  49.57864, 114.83752,   0.66443,  48.98402, 118.52252,   2.46671,  48.46401, 122.44920,   3.68813,  47.93722, 111.15262,  -3.81544,  46.64415, 116.64209, -15.31049,  48.93045, 112.02859, -35.66947,  27.49356, 107.18438, -42.45130,  25.40294, 107.47379, -44.41335,  23.21989, 107.47382, -47.11318,  21.75320, 106.67076, -48.85148,  26.18270, 108.24748, -45.62851,  25.77724, 108.52461, -50.61350,  24.92764, 107.54439, -53.77039,  24.33677, 106.44796, -55.25125,  27.29375, 107.91371, -45.66779,  27.49946, 108.00344, -50.55125,  27.31941, 106.37127, -53.89367,  26.81966, 104.41517, -55.06477,  28.09137, 107.68122, -45.57150,  28.97116, 107.59429, -49.87500,  29.28952, 106.04134, -52.70643,  29.02517, 104.15382, -53.90597,  29.01202, 107.31437, -45.28639,  30.38991, 107.04764, -49.07172,  31.06340, 105.79822, -51.24891,  30.95738, 104.34576, -52.00740,  52.12199, 109.57295,  -0.80447,  62.18917, 103.67569,   4.46969,  43.03545,  95.24518,   6.21940,  24.36784,  85.88821,  -3.42256,  25.72101,  83.90940,  -1.82340,  27.70693,  81.46463,  -0.36257,  28.84578,  79.36661,  -0.01748,  27.20416,  84.57947,  -1.63772,  31.88118,  82.92421,  -0.94710,  34.50711,  80.74682,  -1.05686,  35.58969,  79.20318,  -1.49210,  27.48676,  85.19414,  -2.58096,  32.20148,  83.91225,  -2.41773,  35.08239,  81.78733,  -3.44399,  35.76241,  79.89353,  -4.62663,  27.57228,  85.67759,  -3.25807,  31.88799,  84.96802,  -3.67379,  34.42796,  83.41634,  -4.96641,  35.20841,  81.72964,  -6.23821,  27.49035,  86.22992,  -4.12506,  31.41838,  85.94122,  -5.01143,  33.47737,  85.03364,  -6.31207,  33.94737,  83.85824,  -7.35788
   1.18336,  59.01570,  71.59412, -30.96978,  49.96562,  73.28128, -36.01949,  72.07484,  45.70037, -53.42167, 103.99701,  26.74987, -57.24737,  68.06578,  69.90695, -25.92008,  50.15432,  34.81485, -26.20930,  26.84974,   6.82223, -18.07960,  57.29780,  77.06710, -26.06237,  54.12489,  89.84058, -15.75888,  52.40729,  99.30382,  -8.81597,  50.52971, 113.88135,   1.21383,  49.86843, 117.53717,   3.05195,  49.31081, 121.44791,   4.30742,  49.03583, 110.25975,  -3.36814,  47.77911, 115.75304, -14.86539,  50.15557, 110.81285, -35.13722,  28.91951, 105.43472, -42.14477,  26.84051, 105.55765, -44.13643,  24.69165, 105.36271, -46.85658,  23.28546, 104.43256, -48.58145,  27.59652, 106.32719, -45.36911,  27.23653, 106.41859, -50.36444,  26.47174, 105.29415, -53.49483,  25.95133, 104.12189, -54.94370,  28.72264, 106.04624, -45.38590,  28.98087, 105.98337, -50.26728,  28.91815, 104.23422, -53.55433,  28.52625, 102.21845, -54.66369,  29.52929, 105.85579, -45.27379,  30.46245, 105.66834, -49.56281,  30.88778, 104.03926, -52.33684,  30.72804, 102.10236, -53.47456,  30.46304, 105.54341, -44.96719,  31.89624, 105.21770, -48.72728,  32.65411, 103.93050, -50.85415,  32.62655, 102.45022, -51.56419,  53.16149, 108.66828,  -0.28273,  63.15406, 102.66783,   5.01686,  44.19042,  93.76492,   6.47233,  26.00244,  83.68459,  -3.35540,  27.26604,  81.68492,  -1.70959,  29.15085,  79.19941,  -0.18494,  30.22048,  77.07287,   0.20424,  28.76456,  82.31322,  -1.50250,  33.37672,  80.52928,  -0.70446,  35.93878,  78.27471,  -0.74055,  36.98332,  76.69521,  -1.13846,  29.08300,  82.90876,  -2.44660,  33.75385,  81.49102,  -2.17904,  36.58964,  79.27116,  -3.12706,  37.23567,  77.34514,  -4.27624,  29.19557,  83.38190,  -3.12703,  33.49553,  82.54143,  -3.45203,  36.01255,  80.90156,  -4.67899,  36.76677,  79.17860,  -5.91756,  29.14642,  83.92668,  -4.00125,  33.08028,  83.51299,  -4.80872,  35.13581,  82.53093,  -6.05978,  35.59059,  81.33064,  -7.08382
   1.20002,  61.02316,  71.30491, -30.90832,  52.14232,  73.11204, -36.21067,  75.58912,  47.02360, -54.15505, 107.95274,  29.01365, -58.73982,  69.90400,  69.49778, -25.60596,  51.39228,  34.71863, -25.90125,  27.75854,   6.85388, -18.29966,  59.16190,  76.68960, -25.95572,  55.66651,  89.27146, -15.52162,  53.70646,  98.60481,  -8.46799,  51.43446, 112.99740,   1.74562,  50.70427, 116.62446,   3.61439,  50.10380, 120.51913,   4.89967,  50.09475, 109.43995,  -2.93325,  48.91216, 114.93449, -14.43776,  51.40954, 109.67504, -34.61451,  30.41602, 103.72828, -41.88830,  28.35688, 103.65726, -43.90299,  26.25505, 103.23877, -46.63466,  24.92574, 102.16623, -48.33769,  29.08118, 104.42488, -45.15574,  28.77507, 104.31495, -50.15429,  28.11381, 103.03553, -53.24855,  27.67957, 101.78333, -54.65839,  30.22188, 104.21001, -45.15142,  30.54053, 103.98654, -50.02451,  30.61833, 102.11940, -53.24568,  30.35753, 100.04546, -54.28410,  31.03687, 104.07135, -45.02466,  32.02958, 103.78450, -49.29477,  32.58156, 102.08426, -52.00301,  32.54825, 100.10159, -53.07044,  31.98357, 103.82551, -44.69787,  33.47730, 103.44910, -48.42957,  34.33372, 102.13275, -50.50045,  34.40076, 100.62877, -51.15598,  54.15111, 107.83226,   0.23456,  64.04034, 101.72939,   5.61048,  45.25446,  92.42121,   6.81393,  27.60448,  81.60984,  -3.21567,  28.76817,  79.58623,  -1.52602,  30.54047,  77.05707,   0.06052,  31.53513,  74.90217,   0.49039,  30.28016,  80.17020,  -1.28918,  34.81594,  78.25299,  -0.37139,  37.30772,  75.92104,  -0.33124,  38.31209,  74.30715,  -0.69296,  30.63821,  80.74790,  -2.23016,  35.25600,  79.19052,  -1.84413,  38.04320,  76.87736,  -2.70958,  38.65587,  74.92306,  -3.82891,  30.78077,  81.21173,  -2.91138,  35.05919,  80.23774,  -3.13067,  37.55204,  78.51170,  -4.28674,  38.28109,  76.75632,  -5.49448,  30.76834,  81.75050,  -3.79060,  34.70506,  81.21025,  -4.50391,  36.75750,  80.15557,  -5.69971,  37.19848,  78.93352,  -6.70385
   1.21669,  62.99580,  71.06316, -30.76226,  54.25167,  72.97009, -36.25350,  79.02093,  48.42462, -54.59372, 111.78699,  31.29962, -59.68313,  71.73994,  69.15623, -25.27102,  52.65440,  34.68949, -25.65342,  28.68416,   6.94935, -18.67527,  61.02778,  76.38305, -25.78099,  57.25951,  88.79811, -15.24261,  55.06653,  98.00380,  -8.09046,  52.37856, 112.20208,   2.29270,  51.57690, 115.79968,   4.18892,  50.93284, 119.67837,   5.50117,  51.20612, 108.71517,  -2.48317,  50.14608, 114.20885, -14.00004,  52.77931, 108.69144, -34.09044,  32.01231, 102.27951, -41.61497,  29.98013, 102.03081, -43.64290,  27.93182, 101.41095, -46.37694,  26.68141, 100.21347, -48.05630,  30.67243, 102.79923, -44.91312,  30.42171, 102.51895, -49.90811,  29.86344, 101.11000, -52.96617,  29.51388,  99.79267, -54.33974,  31.82328, 102.64922, -44.89297,  32.20147, 102.29469, -49.75401,  32.41525, 100.33698, -52.91469,  32.28129,  98.22076, -53.89001,  32.64350, 102.56065, -44.75542,  33.69232, 102.19936, -49.00643,  34.36515, 100.45066, -51.65584,  34.45349,  98.43745, -52.66118,  33.59926, 102.37869, -44.41356,  35.14806, 101.97277, -48.11962,  36.09710, 100.64387, -50.14153,  36.25476,  99.12666, -50.74931,  55.18004, 107.08417,   0.77588,  64.96418, 100.90368,   6.25444,  46.35769,  91.21207,   7.18783,  29.16977,  79.82988,  -3.01125,  30.24417,  77.78214,  -1.29178,  31.91662,  75.21369,   0.33940,  32.84747,  73.03586,   0.79580,  31.76441,  78.32905,  -1.02163,  36.22917,  76.30229,   0.00279,  38.66075,  73.90943,   0.10401,  39.63271,  72.27029,  -0.23174,  32.15798,  78.89543,  -1.95528,  36.72573,  77.22507,  -1.46127,  39.47361,  74.84149,  -2.25872,  40.06286,  72.86992,  -3.36018,  32.32746,  79.35394,  -2.63393,  36.58427,  78.27374,  -2.75389,  39.05914,  76.48369,  -3.84967,  39.77165,  74.70788,  -5.03724,  32.34840,  79.89073,  -3.51420,  36.28569,  79.25141,  -4.13663,  38.33797,  78.14332,  -5.28342,  38.77119,  76.90831,  -6.27499
   1.23336,  64.95696,  70.87761, -30.54328,  56.34731,  72.89413, -36.20521,  82.17506,  49.91330, -55.10413, 115.56258,  34.12383, -60.46585,  73.56662,  68.86109, -24.88135,  53.89093,  34.73078, -25.47253,  29.58453,   7.11894, -19.18222,  62.89352,  76.13413, -25.53343,  58.89438,  88.40189, -14.90798,  56.51294,  97.50261,  -7.68215,  53.49481, 111.54868,   2.81667,  52.63525, 115.12403,   4.72955,  51.95463, 118.99150,   6.05635,  52.45944, 108.11995,  -2.03244,  51.55400, 113.61008, -13.56419,  54.35359, 107.89474, -33.57661,  33.81420, 101.10490, -41.38888,  31.83458, 100.63926, -43.43053,  29.87530,  99.77668, -46.16403,  28.73685,  98.43325, -47.81232,  32.48991, 101.40770, -44.72021,  32.33312, 100.92791, -49.70383,  31.92018,  99.37214, -52.71342,  31.68415,  97.98405, -54.04073,  33.64804, 101.34019, -44.68048,  34.12176, 100.83571, -49.51986,  34.51889,  98.78371, -52.60203,  34.54808,  96.62907, -53.49881,  34.47033, 101.31488, -44.52978,  35.60444, 100.87334, -48.75121,  36.43725,  99.08081, -51.32478,  36.68138,  97.04345, -52.25273,  35.43136, 101.21351, -44.16976,  37.05926, 100.78274, -47.83893,  38.12887,  99.45114, -49.79790,  38.40150,  97.92764, -50.34636,  56.35931, 106.46483,   1.30300,  66.04249, 100.23721,   6.90615,  47.58754,  90.24145,   7.61311,  30.79925,  78.39669,  -2.72396,  31.78560,  76.32152,  -0.98474,  33.36045,  73.71284,   0.67941,  34.23178,  71.51394,   1.15203,  33.31029,  76.83421,  -0.67542,  37.70283,  74.70726,   0.45286,  40.07816,  72.26130,   0.60683,  41.02200,  70.60205,   0.29019,  33.73919,  77.39416,  -1.59731,  38.25561,  75.62259,  -0.99565,  40.96954,  73.18123,  -1.73222,  41.54258,  71.19996,  -2.82481,  33.93543,  77.85053,  -2.27015,  38.16923,  76.67737,  -2.28816,  40.63070,  74.83614,  -3.32789,  41.33335,  73.04809,  -4.50292,  33.98994,  78.38895,  -3.14799,  37.92650,  77.66484,  -3.67486,  39.98180,  76.51482,  -4.77394,  40.41231,  75.27308,  -5.75828
   1.25003,  66.91185,  70.70802, -30.27916,  58.43625,  72.84916, -36.09549,  85.15000,  51.42613, -55.58367, 119.26678,  37.31777, -61.04098,  75.38745,  68.56688, -24.46284,  55.25296,  34.71136, -25.33801,  30.67682,   7.21383, -19.62122,  64.76668,  75.90390, -25.24047,  60.55311,  88.02276, -14.52737,  57.98172,  97.01383,  -7.22973,  54.60841, 110.89991,   3.37329,  53.68774, 114.45334,   5.29853,  52.97089, 118.31117,   6.63429,  53.72514, 107.53543,  -1.55035,  52.97175, 113.02242, -13.09451,  55.98131, 107.16618, -33.03560,  35.69706, 100.07111, -41.23373,  33.80939,  99.36544, -43.29354,  31.99009,  98.23884, -46.02771,  31.00232,  96.74310, -47.64165,  34.43035, 100.13332, -44.60044,  34.42851,  99.44624, -49.56222,  34.21242,  97.74454, -52.51282,  34.12004,  96.29058, -53.78629,  35.58891, 100.16212, -44.53489,  36.21400,  99.50755, -49.33898,  36.84685,  97.37487, -52.32551,  37.07061,  95.19611, -53.13205,  36.40684, 100.20991, -44.36691,  37.67057,  99.69626, -48.54312,  38.70481,  97.87756, -51.02359,  39.13401,  95.83191, -51.86180,  37.36430, 100.20153, -43.98393,  39.10639,  99.76065, -47.59907,  40.32514,  98.44453, -49.47983,  40.73246,  96.92791, -49.95955,  57.53607, 105.84877,   1.87100,  67.11614,  99.59073,   7.61569,  48.77643,  89.37353,   8.12945,  32.34840,  77.12477,  -2.31505,  33.24027,  75.01696,  -0.56410,  34.71143,  72.36401,   1.12479,  35.52287,  70.14403,   1.60539,  34.76553,  75.49542,  -0.20652,  39.07822,  73.26904,   1.03255,  41.39691,  70.77292,   1.23652,  42.31510,  69.09663,   0.93455,  35.23273,  76.05291,  -1.11113,  39.69198,  74.18302,  -0.39206,  42.37523,  71.69083,  -1.06833,  42.93891,  69.70594,  -2.15921,  35.45798,  76.50992,  -1.77439,  39.66531,  75.24866,  -1.67826,  42.11755,  73.36391,  -2.66022,  42.81717,  71.57007,  -3.82821,  35.54929,  77.05338,  -2.64604,  39.48376,  76.25095,  -3.06368,  41.54613,  75.06616,  -4.11140,  41.97949,  73.82281,  -5.09245
